
Conexiones activas

  Proto  Dirección local          Dirección remota        Estado           PID
  TCP    192.168.1.10:50854     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50859     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50866     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50869     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50871     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50876     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50879     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50880     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50882     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50883     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50884     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50892     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50896     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50899     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50900     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50901     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.10:50904     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50905     72.154.7.109:443       TIME_WAIT       0
  TCP    192.168.1.10:50906     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50907     23.215.173.196:443     ESTABLISHED     16172
  TCP    192.168.1.10:50908     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50909     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50911     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50913     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50916     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50919     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.10:50920     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50921     72.154.7.109:443       TIME_WAIT       0
  TCP    192.168.1.10:50922     23.215.173.196:443     ESTABLISHED     16172
  TCP    192.168.1.10:50926     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50929     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50931     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50932     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.10:50933     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50934     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50938     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50941     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50942     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50946     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50951     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50953     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.10:50954     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50958     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50959     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50960     34.54.84.110:443       ESTABLISHED     15224
  TCP    192.168.1.10:50962     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50963     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50964     142.251.0.95:443       TIME_WAIT       0
  TCP    192.168.1.10:50965     13.107.213.33:443      ESTABLISHED     5176
  TCP    192.168.1.10:50967     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50968     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50969     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50970     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50971     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50972     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50973     142.250.0.132:443      ESTABLISHED     15224
  TCP    192.168.1.10:50974     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50977     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:53729     135.234.174.40:443     ESTABLISHED     15708
  TCP    192.168.1.10:57388     142.251.0.188:5228     ESTABLISHED     9596
  TCP    192.168.1.10:64169     13.223.19.204:443      ESTABLISHED     4992
  TCP    192.168.1.10:64170     13.223.19.204:443      ESTABLISHED     4992
  TCP    192.168.1.10:64171     13.223.19.204:443      ESTABLISHED     4992
  TCP    192.168.1.10:64303     52.107.245.33:443      ESTABLISHED     804
  TCP    192.168.1.10:64304     52.107.245.32:443      ESTABLISHED     804
  TCP    192.168.1.10:65007     150.171.110.37:443     CLOSE_WAIT      9556
  TCP    192.168.1.10:65478     13.223.19.204:443      ESTABLISHED     4992
  TCP    [::]:135               [::]:0                 LISTENING       1156
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5432              [::]:0                 LISTENING       5452
  TCP    [::]:7680              [::]:0                 LISTENING       16172
  TCP    [::]:49664             [::]:0                 LISTENING       92
  TCP    [::]:49665             [::]:0                 LISTENING       924
  TCP    [::]:49666             [::]:0                 LISTENING       1956
  TCP    [::]:49667             [::]:0                 LISTENING       2912
  TCP    [::]:49668             [::]:0                 LISTENING       3848
  TCP    [::]:49670             [::]:0                 LISTENING       4516
  TCP    [::]:49671             [::]:0                 LISTENING       996
  TCP    [::]:65001             [::]:0                 LISTENING       13900
  TCP    [::1]:42050            [::]:0                 LISTENING       804
  TCP    [::1]:49669            [::]:0                 LISTENING       5128
  UDP    0.0.0.0:123            *:*                                    3420
  UDP    0.0.0.0:500            *:*                                    4508
  UDP    0.0.0.0:4500           *:*                                    4508
  UDP    0.0.0.0:5050           *:*                                    9368
  UDP    0.0.0.0:5353           *:*                                    9596
  UDP    0.0.0.0:5353           *:*                                    2476
  UDP    0.0.0.0:5353           *:*                                    12456
  UDP    0.0.0.0:5353           *:*                                    9596
  UDP    0.0.0.0:5353           *:*                                    13736
  UDP    0.0.0.0:5353           *:*                                    12456
  UDP    0.0.0.0:5353           *:*                                    13736
  UDP    0.0.0.0:5355           *:*                                    2476
  UDP    127.0.0.1:1900         *:*                                    4028
  UDP    127.0.0.1:49666        *:*                                    4868
  UDP    127.0.0.1:50173        *:*                                    4028
  UDP    192.168.1.10:137       *:*                                    4
  UDP    192.168.1.10:138       *:*                                    4
  UDP    192.168.1.10:1900      *:*                                    4028
  UDP    192.168.1.10:50172     *:*                                    4028
  UDP    [::]:123               *:*                                    3420
  UDP    [::]:500               *:*                                    4508
  UDP    [::]:4500              *:*                                    4508
  UDP    [::]:5353              *:*                                    13736
  UDP    [::]:5353              *:*                                    2476
  UDP    [::]:5353              *:*                                    12456
  UDP    [::]:5353              *:*                                    9596
  UDP    [::]:5355              *:*                                    2476
  UDP    [::1]:1900             *:*                                    4028
  UDP    [::1]:50171            *:*                                    4028
  UDP    [fe80::b1f0:8bfd:a55e:7656%15]:1900  *:*                                    4028
  UDP    [fe80::b1f0:8bfd:a55e:7656%15]:50170  *:*                                    4028
